plant_id,country_id,latitude,longitude
106,6,-32.1883,-64.3233
107,6,-26.2545,-53.6469
108,6,-34.2605,-62.7107
109,6,-35.0241,-58.4237
110,6,-27.7534,-57.6205
111,6,-25.2712,-65.3298
112,6,-33.0291,-69.1109
113,6,-25.1089,-66.2106
114,6,-26.0715,-65.9876
115,6,-28.4537,-65.7841
116,6,-28.4773,-65.7872
117,6,-28.4684,-65.7797
118,6,-38.2143,-67.1908
119,6,-31.3992,-64.2006
120,6,-38.7872,-62.2536
121,6,-38.5127,-68.6048
122,6,-38.062,-67.9463
123,6,-34.9027,-58.7334
124,6,-34.9027,-58.7334
125,6,-31.7112,-60.7811
126,6,-24.7456,-65.0513
127,6,-24.6894,-65.0425
128,6,-27.7528,-64.2655
129,6,-22.3497,-63.7664
130,6,-34.7208,-58.3881
131,6,-34.6268,-58.5438
132,6,-24.6894,-65.0425
133,6,-32.5778,-60.791
134,6,-31.5192,-68.9814
135,6,-29.1578,-67.5069
136,6,-31.9881,-68.5402
137,6,-38.9121,-67.9427
138,6,-25.6669,-54.0419
139,6,-25.9913,-54.6278
140,6,-45.8467,-67.4964
141,6,-27.4708,-58.8042
142,6,-34.626,-58.3393
143,6,-33.0349,-68.7971
144,6,-30.7636,-64.7538
145,6,-32.1613,-64.1537
146,6,-43.0907,-65.2298
147,6,-38.8706,-70.5753
148,6,-27.0922,-54.8625
149,6,-34.0414,-60.1297
150,6,-28.4431,-62.8569
151,6,-28.4431,-62.8569
152,6,-41.1497,-71.2633
153,6,-32.6103,-62.6864
154,6,-35.1364,-60.4311
155,6,-34.1636,-59.7683
156,6,-28.4706,-65.7647
157,6,-38.0528,-70.6136
158,6,-29.8883,-61.9297
159,6,-27.2369,-61.1939
160,6,-29.1581,-67.5072
161,6,-38.9133,-67.9414
162,6,-33.9222,-61.0769
163,6,-32.4767,-58.2672
164,6,-27.4708,-58.8042
165,6,-38.6871,-62.3961
166,6,-34.8597,-57.9557
167,6,-30.055,-59.5294
168,6,-26.1764,-58.2094
169,6,-35.0347,-62.9981
170,6,-29.1583,-59.2728
171,6,-26.8666,-65.2247
172,6,-23.9078,-61.8342
173,6,-28.4733,-65.7275
174,6,-33.2425,-62.395
175,6,-25.9564,-60.6204
176,6,-34.5708,-60.9161
177,6,-34.9344,-58.016
178,6,-29.3811,-66.8325
179,6,-29.3808,-66.8319
180,6,-25.1286,-58.2597
181,6,-37.0781,-57.8181
182,6,-37.0781,-57.8181
183,6,-27.0289,-58.6997
184,6,-40.8421,-68.0869
185,6,-34.8578,-61.5206
186,6,-35.1917,-59.0808
187,6,-35.1001,-57.4839
188,6,-34.3931,-58.8372
189,6,-37.4102,-68.9
190,6,-38.2472,-57.8242
191,6,-36.9439,-60.2361
192,6,-23.1258,-64.3069
193,6,-31.7764,-60.4553
194,6,-28.5339,-65.7997
195,6,-27.3236,-58.5667
196,6,-35.8336,-61.8758
197,6,-37.0953,-56.8789
198,6,-25.6786,-59.0756
199,6,-26.9955,-65.166
200,6,-31.2567,-61.5203
201,6,-35.055,-64.2406
202,6,-31.8919,-60.0106
203,6,-26.8156,-60.4114
204,6,-26.8153,-60.4125
205,6,-27.4597,-65.6055
206,6,-34.5252,-58.6206
207,6,-26.9955,-65.166
208,6,-34.5252,-58.6206
209,6,-28.2628,-58.0006
210,6,-22.5406,-63.8056
211,6,-28.4289,-65.7878
212,6,-28.0486,-67.5667
213,6,-26.9955,-65.166
214,6,-33.7736,-61.9564
215,6,-31.8919,-60.0106
216,6,-27.5808,-60.7094
217,6,-39.0872,-67.0881
218,6,-30.1833,-69.0667
219,6,-26.04,-65.93
220,6,-33.61,-65.445
221,6,-23.8,-66.8
222,6,-31.3934,-64.2059
223,6,-34.8902,-57.933
224,6,-34.6533,-58.342
225,6,-26.6156,-65.1929
226,6,-33.2993,-68.7199
227,6,-39.2577,-68.7483
228,6,-34.61,-68.6136
229,6,-25.2323,-64.4762
230,6,-32.2316,-64.4422
231,6,-27.6589,-65.7633
232,6,-30.0102,-59.5321
233,6,-34.627,-58.3382
234,6,-37.2742,-69.652
235,6,-32.1784,-64.4207
236,6,-43.6996,-66.4815
237,6,-43.1288,-71.63
238,6,-28.6072,-65.1228
239,6,-37.4309,-64.716
240,6,-34.0364,-63.9217
241,6,-33.0449,-68.9219
242,6,-29.1388,-59.2277
243,6,-29.1388,-59.2277
244,6,-39.56,-65.6817
245,6,-40.012,-69.9918
246,6,-33.2422,-62.3946
247,6,-27.4252,-57.3341
248,6,-27.5785,-56.6726
249,6,-30.34,-69.27
250,6,-38.8367,-68.038
251,6,-29.1762,-56.6394
252,6,-34.889,-57.9206
253,6,-29.3823,-66.8325
254,6,-27.4184,-55.9097
255,6,-31.8708,-65.0349
256,6,-24.4438,-65.2203
257,6,-34.6,-68.5285
258,6,-31.838,-64.4452
259,6,-31.838,-64.4452
260,6,-27.6509,-64.3618
261,6,-34.6028,-68.6383
262,6,-33.0551,-68.981
263,6,-36.7208,-63.1977
264,6,-38.0495,-57.546
265,6,-39.2291,-62.6497
266,6,-28.0441,-58.2285
267,6,-29.1808,-58.0793
268,6,-33.1608,-64.3656
269,6,-38.5785,-58.7108
270,6,-34.9907,-68.6237
271,6,-34.9039,-68.6177
272,6,-34.8821,-68.576
273,6,-34.833,-68.5168
274,6,-26.2072,-64.2477
275,6,-34.5721,-58.3835
276,6,-27.5019,-55.1245
277,6,-38.6851,-59.7804
278,6,-33.3549,-60.1718
279,6,-28.6684,-66.7524
280,6,-28.6684,-66.7524
281,6,-45.7458,-67.6953
282,6,-45.8507,-67.9081
283,6,-43.0907,-65.2298
284,6,-43.3522,-65.1734
285,6,-43.3522,-65.1734
286,6,-29.7148,-57.0933
287,6,-45.7934,-67.5145
288,6,-29.34,-58.6077
289,6,-46.8065,-67.9808
290,6,-46.7842,-67.9498
291,6,-31.6651,-63.8314
292,6,-32.1675,-64.2438
293,6,-31.6651,-63.8314
294,6,-31.6662,-63.8344
295,6,-28.5339,-65.7997
296,6,-31.3891,-68.6752
297,6,-31.5129,-68.5399
298,6,-27.1149,-65.7523
299,6,-42.7069,-65.1048
300,6,-34.5754,-58.3788
301,6,-38.7833,-61.8984
302,6,-31.2567,-61.5203
303,6,-24.983,-65.686
304,6,-33.1614,-64.3649
305,6,-53.7862,-67.7222
306,6,-27.5225,-64.8861
307,6,-38.8244,-64.8296
308,6,-31.3891,-68.6752
309,6,-31.4391,-62.1119
310,6,-40.1511,-71.334
311,6,-33.3562,-60.1729
312,6,-26.6253,-54.1102
313,6,-31.3533,-64.3938
314,6,-36.2314,-66.9381
315,6,-28.5497,-56.0722
316,6,-32.9053,-60.6807
317,6,-31.463,-64.2388
318,6,-28.165,-66.225
319,6,-22.5099,-63.797
320,6,-33.3655,-60.1435
321,6,-29.2352,-61.7577
322,6,-31.4557,-68.7556
323,6,-25.8766,-54.5687
324,6,-33.7777,-61.9555
325,6,-37.2487,-56.9973
326,6,-39.0872,-67.0881
327,6,-32.5807,-60.7903
328,6,-27.4827,-56.7397
329,7,40.1805,44.1498
330,7,40.564,44.7479
331,7,40.1152,44.4973
332,7,40.5078,44.7606
333,7,39.4743,46.1306
334,7,39.6494,45.85
335,7,39.3956,46.2578
336,7,40.1138,44.5038
337,8,-34.9453,138.5882
338,8,-35.0641,117.7977
339,8,-34.5509,138.7659
340,8,-34.5034,139.0246
341,8,-38.3861,144.1828
342,8,-13.8584,136.4209
343,8,-34.2082,150.7722
344,8,-37.2385,143.0794
345,8,-16.7162,128.4031
346,8,-37.8429,147.5639
347,8,-37.5596,143.8469
348,8,-36.5344,147.4594
349,8,-33.9197,151.0332
350,8,-34.6899,142.7452
351,8,-23.5525,145.3142
352,8,-23.549,145.318
353,8,-23.5388,145.2732
354,8,-16.8502,145.6465
355,8,-41.736,145.5321
356,8,-32.3953,150.9491
357,8,-35.2142,148.9872
358,8,-41.1429,146.903
359,8,-34.7337,150.4669
360,8,-12.4262,130.9195
361,8,-38.1197,145.2665
362,8,-32.353,149.468
363,8,-18.6816,121.7848
364,8,-33.6219,149.1982
365,8,-35.3986,148.2463
366,8,-36.3164,140.7575
367,8,-40.7207,144.6869
368,8,-36.5763,149.1267
369,8,-32.4146,149.0998
370,8,-36.8055,147.228
371,8,-27.1109,150.9053
372,8,-27.1128,150.9049
373,8,-34.4018,119.3888
374,8,-23.8817,133.8281
375,8,-27.404,153.11
376,8,-37.6878,144.9663
377,8,-29.0118,153.4335
378,8,-31.9863,141.4203
379,8,-31.9867,141.3915
380,8,-37.818,144.8319
381,8,-17.981,122.2046
382,8,-36.5951,149.474
383,8,-27.6721,153.0663
384,8,-27.4036,153.1363
385,8,-32.427,137.838
386,8,-32.408,137.841
387,8,-32.6646,149.108
388,8,-35.0025,148.5834
389,8,-20.6286,116.7821
390,8,-20.5937,116.7802
391,8,-42.2669,146.2618
392,8,-32.8835,151.7275
393,8,-24.334,150.628
394,8,-24.3449,150.6197
395,8,-24.3449,150.6182
396,8,-18.0278,124.1621
397,8,-32.0739,115.8914
398,8,-21.8601,140.9158
399,8,-37.7603,140.4033
400,8,-38.3577,141.385
401,8,-20.6488,117.1407
402,8,-38.3676,141.543
403,8,-38.412,141.543
404,8,-21.0767,116.159
405,8,-38.3976,141.6209
406,8,-35.166,149.5186
407,8,-32.7897,151.4813
408,8,-24.8692,113.6754
409,8,-42.4524,146.5977
410,8,-34.8509,135.5852
411,8,-30.3808,121.1635
412,8,-41.4787,146.1349
413,8,-37.3898,143.114
414,8,-12.555,130.8666
415,8,-32.9643,151.6936
416,8,-25.28,152.38
417,8,-22.399,119.732
418,8,-19.8398,147.2105
419,8,-37.9502,145.1187
420,8,-33.5086,138.1192
421,8,-22.8446,147.5855
422,8,-22.3247,119.404
423,8,-36.7853,147.2205
424,8,-42.5064,146.6812
425,8,-32.2001,115.7737
426,8,-38.2835,141.9547
427,8,-31.5432,118.4566
428,8,-33.331,116.229
429,8,-33.3422,116.2612
430,8,-20.5447,147.8049
431,8,-20.5411,147.8074
432,8,-33.2099,151.5448
433,8,-26.6682,150.27
434,8,-28.3138,153.4341
435,8,-29.9102,150.9235
436,8,-23.1521,113.7762
437,8,-38.0587,144.4056
438,8,-34.5165,149.5425
439,8,-37.1216,143.1537
440,8,-34.805,149.4001
441,8,-27.0863,150.943
442,8,-20.648,116.7219
443,8,-27.1169,150.8942
444,8,-27.1169,150.8942
445,8,-27.8972,121.2698
446,8,-36.5564,147.5206
447,8,-12.4157,130.8908
448,8,-20.4947,147.7707
449,8,-25.55,119.317
450,8,-25.9167,113.534
451,8,-17.3141,123.6441
452,8,-41.3505,146.2632
453,8,-20.7837,139.4833
454,8,-34.8475,138.5818
455,8,-32.273,148.658
456,8,-33.8204,151.042
457,8,-33.8142,150.8537
458,8,-33.8125,150.8617
459,8,-37.222,145.9215
460,8,-37.2431,145.8974
461,8,-17.5504,133.5393
462,8,-23.5084,148.1347
463,8,-30.489,115.416
464,8,-30.4882,115.3768
465,8,-38.2546,146.4137
466,8,-33.0617,151.5223
467,8,-33.8762,121.8998
468,8,-33.8927,121.7778
469,8,-33.8802,121.769
470,8,-21.9465,114.125
471,8,-41.6732,146.2687
472,8,-18.1956,125.5597
473,8,-35.6762,143.4553
474,8,-28.7701,114.6485
475,8,-22.9281,148.5515
476,8,-23.8508,151.2187
477,8,-32.1097,150.9982
478,8,-32.4598,151.1286
479,8,-42.8415,147.255
480,8,-28.325,150.375
481,8,-42.7405,145.9828
482,8,-32.0228,116.0129
483,8,-33.7029,150.8312
484,8,-35.0507,117.7638
485,8,-28.9043,115.1119
486,8,-34.3155,146.1094
487,8,-34.61,149.476
488,8,-34.6149,149.4597
489,8,-34.6977,149.3861
490,8,-36.3501,148.4135
491,8,-38.0535,145.2699
492,8,-33.3855,138.7928
493,8,-33.3487,138.7517
494,8,-33.3397,138.7323
495,8,-33.5226,138.8552
496,8,-18.2328,127.6619
497,8,-20.5048,147.7671
498,8,-19.733,147.0483
499,8,-20.4877,147.7449
500,8,-38.2731,146.3923
501,8,-32.165,115.8008
502,8,-34.849,138.7203
503,8,-42.8883,147.2888
504,8,-33.905,120.1299
505,8,-33.9078,120.1297
506,8,-20.875,144.17
507,8,-36.1066,147.0326
508,8,-32.836,151.4505
509,8,-32.3893,150.9664
510,8,-19.6422,147.4016
511,8,-19.5167,147.1065
512,8,-25.194,152.2086
513,8,-34.0734,150.7427
514,8,-38.2753,146.4263
515,8,-38.2746,146.4249
516,8,-36.4351,148.6333
517,8,-42.1548,145.5345
518,8,-35.562,148.3055
519,8,-26.3712,120.5776
520,8,-27.4453,153.1185
521,8,-19.5223,147.4152
522,8,-31.9768,115.9988
523,8,-27.8995,114.1946
524,8,-30.7378,121.5065
525,8,-30.8737,121.4842
526,8,-31.1919,121.6741
527,8,-34.723,150.4795
528,8,-34.4154,142.2521
529,8,-17.767,145.5779
530,8,-20.7626,116.8375
531,8,-14.4587,132.2445
532,8,-33.1633,115.7805
533,8,-36.3966,141.7474
534,8,-18.89,144.14
535,8,-39.9388,143.892
536,8,-26.9177,150.7493
537,8,-17.8313,145.6034
538,8,-15.7796,128.7395
539,8,-32.197,115.7759
540,8,-32.1946,115.7797
541,8,-32.2225,115.7661
542,8,-32.1973,115.7754
543,8,-32.202,115.7728
544,8,-32.2243,115.7783
545,8,-37.4567,140.7827
546,8,-37.7815,140.4058
547,8,-37.8149,140.4195
548,8,-37.7505,140.393
549,8,-33.311,146.4092
550,8,-42.2537,146.6207
551,8,-37.9047,146.8011
552,8,-30.8792,150.4914
553,8,-36.9129,146.3921
554,8,-15.869,144.862
555,8,-12.3892,130.9254
556,8,-28.6216,122.3965
557,8,-28.8096,122.415
558,8,-37.8416,144.7887
559,8,-20.7835,139.4864
560,8,-27.8141,120.699
561,8,-41.6038,146.139
562,8,-37.4271,144.1222
563,8,-28.8811,121.3213
564,8,-42.3763,146.5099
565,8,-32.3713,150.9776
566,8,-32.3761,150.9797
567,8,-23.0875,148.439
568,8,-32.5645,137.5572
569,8,-38.2236,147.1657
570,8,-35.1097,138.491
571,8,-42.0147,145.5261
572,8,-37.3027,145.8458
573,8,-38.2536,146.5746
574,8,-38.2564,146.5864
575,8,-34.0293,151.0021
576,8,-34.0481,150.9739
577,8,-38.0648,142.1844
578,8,-21.1446,149.1591
579,8,-41.6997,145.6461
580,8,-18.589,146.258
581,8,-32.5079,115.759
582,8,-33.1733,148.718
583,8,-21.1649,119.7419
584,8,-25.5476,152.7171
585,8,-38.1809,146.4479
586,8,-16.4335,136.0935
587,8,-36.8584,147.2345
588,8,-42.6112,146.8457
589,8,-26.5952,118.483
590,8,-37.8086,144.9685
591,8,-31.5423,118.227
592,8,-20.7776,139.4906
593,8,-27.9615,151.2789
594,8,-33.9031,138.7383
595,8,-37.655,144.1913
596,8,-37.7402,144.1622
597,8,-21.9851,148.0246
598,8,-21.8967,147.9507
599,8,-29.5722,149.8669
600,8,-38.3916,144.8553
601,8,-38.0632,142.6675
602,8,-37.8413,142.4653
603,8,-27.2146,120.548
604,8,-28.0871,117.8327
605,8,-33.6255,136.7039
606,8,-19.338,146.8512
607,8,-37.8388,140.8057
608,8,-38.2587,143.8019
609,8,-37.8317,143.8892
610,8,-33.3589,150.0313
611,8,-35.3953,149.1458
612,8,-35.3989,149.146
613,8,-33.446,116.3062
614,8,-33.4464,116.3074
615,8,-17.0932,145.7887
616,8,-28.9918,114.9599
617,8,-28.8893,115.1177
618,8,-24.8911,113.7095
619,8,-33.2117,151.5418
620,8,-36.4333,142.3182
621,8,-36.2467,148.1901
622,8,-36.2423,148.1362
623,8,-28.9238,121.3293
624,8,-40.7798,148.0097
625,8,-32.9521,117.1916
626,8,-32.224,148.256
627,8,-31.6712,115.8021
628,8,-23.3443,119.7086
629,8,-37.8415,144.8942
630,8,-12.1889,136.6872
631,8,-42.2686,146.2629
632,8,-33.811,151.1966
633,8,-31.8654,115.8773
634,8,-17.681,141.05
635,8,-32.1963,121.7943
636,8,-33.3093,138.7296
637,8,-33.8398,151.2069
638,8,-31.652,116.711
639,8,-36.1592,145.4746
640,8,-29.9257,152.7417
641,8,-31.5527,147.0854
642,8,-27.4183,151.6797
643,8,-27.406,151.647
644,8,-27.412,151.655
645,8,-37.6871,142.5467
646,8,-30.5751,152.069
647,8,-22.9878,148.5817
648,8,-21.6582,115.099
649,8,-16.1201,128.7383
650,8,-34.798,138.5079
651,8,-23.8636,133.8255
652,8,-41.2826,146.249
653,8,-23.2233,117.6133
654,8,-23.2238,117.6137
655,8,-33.1027,148.075
656,8,-35.2023,138.5021
657,8,-34.765,138.5053
658,8,-31.9767,115.8548
659,8,-32.945,138.905
660,8,-29.3886,151.2442
661,8,-13.7856,131.8624
662,8,-31.5568,115.8204
663,8,-32.6473,115.9469
664,8,-19.5575,147.3308
665,8,-21.4282,149.2159
666,8,-25.311,119.4508
667,8,-41.8115,146.9192
668,8,-20.4283,118.5498
669,8,-20.3782,118.5384
670,8,-34.7003,135.8044
671,8,-35.1104,138.4915
672,8,-20.3985,148.5797
673,8,-34.7793,138.5224
674,8,-21.1635,149.1344
675,8,-33.61,120.36
676,8,-31.8317,116.0992
677,8,-32.5802,151.0719
678,8,-41.7238,145.1359
679,8,-41.395,147.1554
680,8,-42.5077,146.647
681,8,-33.9534,151.0137
682,8,-27.5591,153.1236
683,8,-32.2863,115.8154
684,8,-27.7334,153.3276
685,8,-27.3388,153.0344
686,8,-19.03,146.394
687,8,-26.5772,148.8402
688,8,-23.7091,133.8912
689,8,-19.424,146.715
690,8,-41.7295,146.2176
691,8,-22.4812,119.9472
692,8,-35.4897,149.1435
693,8,-37.3272,145.8605
694,8,-22.1405,147.9188
695,8,-29.6997,151.4119
696,8,-17.3631,128.0331
697,8,-31.9577,115.7924
698,8,-36.3218,145.379
699,8,-33.85,150.9495
700,8,-33.714,138.1402
701,8,-33.8302,138.1184
702,8,-37.6646,140.4156
703,8,-22.1581,117.9849
704,8,-37.6318,144.9531
705,8,-32.2664,116.0193
706,8,-17.6057,145.991
707,8,-37.9733,145.1396
708,8,-33.9748,151.1294
709,8,-23.5097,150.3195
710,8,-27.7334,153.2463
711,8,-35.5678,138.1432
712,8,-40.7788,144.7362
713,8,-32.891,151.65
714,8,-32.8885,151.643
715,8,-19.3355,146.8885
716,8,-26.2261,152.6981
717,8,-34.804,143.491
718,8,-29.0927,122.4393
719,8,-25.32,152.405
720,8,-35.342,143.518
721,8,-27.6554,152.8179
722,8,-37.8298,144.9444
723,8,-17.1193,145.345
724,8,-34.2482,150.5808
725,8,-35.2708,139.4924
726,8,-34.5228,150.8081
727,8,-31.7078,115.7266
728,8,-41.1401,146.9036
729,8,-34.4314,149.8652
730,8,-26.7824,151.9153
731,8,-26.7858,151.9172
732,8,-26.7758,151.9146
733,8,-42.3012,146.4572
734,8,-36.4793,145.235
735,8,-34.8303,138.7129
736,8,-21.7129,122.2091
737,8,-19.6549,134.1753
738,8,-32.9455,151.6119
739,8,-34.8393,138.7112
740,8,-35.6043,145.7837
741,8,-27.6802,152.6593
742,8,-15.6562,130.479
743,8,-41.9707,146.7938
744,8,-32.8217,151.7178
745,8,-38.6451,146.3441
746,8,-34.8068,138.5213
747,8,-34.8052,138.5226
748,8,-34.2207,150.7179
749,8,-19.2011,146.6187
750,8,-38.1793,146.5654
751,8,-41.4226,147.1119
752,8,-41.8129,145.6538
753,8,-17.9373,145.9267
754,8,-35.9517,148.3637
755,8,-35.8814,148.3672
756,8,-35.6112,148.2917
757,8,-42.2967,146.4565
758,8,-27.495,153.0101
759,8,-42.0046,145.5437
760,8,-35.1794,147.2157
761,8,-23.7685,133.8682
762,8,-26.56,153.025
763,8,-33.1607,151.5431
764,8,-38.2536,146.5892
765,8,-18.6508,146.2016
766,8,-27.4405,153.1158
767,8,-35.2959,148.1371
768,8,-14.2602,129.5368
769,8,-32.916,115.9186
770,8,-32.9145,115.917
771,8,-28.9229,114.9282
772,8,-33.4028,150.0833
773,8,-17.0259,128.2113
774,8,-33.8832,150.5965
775,8,-19.4434,133.8236
776,8,-34.001,138.9109
777,8,-35.1104,137.7058
778,8,-37.3575,143.6037
779,8,-42.4272,146.5347
780,8,-12.5771,130.9502
781,8,-34.8027,142.5457
782,8,-23.1546,118.7245
783,8,-34.4515,150.8429
784,8,-30.7806,121.4234
785,8,-36.7601,147.186
786,8,-34.882,150.5515
787,8,-34.0513,150.8329
788,8,-29.765,151.553
789,8,-20.4949,147.7481
790,8,-27.659,152.8237
791,8,-33.007,137.558
792,8,-30.3634,149.6772
793,8,-35.571,149.128
794,8,-41.4833,146.1251
795,8,-31.5234,138.6198
796,8,-26.5922,120.2185
797,8,-26.6316,120.2519
798,8,-28.2933,118.5371
799,8,-17.5922,145.5306
800,8,-34.8348,138.5572
801,8,-34.8321,138.5489
802,8,-27.3952,152.6092
803,8,-27.3722,152.632
804,8,-21.1739,118.6747
805,8,-37.583,145.0487
806,8,-38.6037,145.5462
807,8,-35.059,149.5769
808,8,-35.0861,149.5716
809,8,-32.1424,115.7713
810,8,-33.2355,116.0688
811,8,-33.2365,116.0637
812,8,-33.981,148.9473
813,8,-37.9375,144.5902
814,8,-20.7437,139.4803
815,8,-38.177,146.3428
816,8,-37.7281,144.2408
817,8,-38.3079,142.0151
818,8,-36.0094,145.9995
819,8,-23.8306,151.1519
820,8,-34.407,142.179
821,8,-25.2323,130.9912
822,8,-20.762,116.742
823,9,48.248,14.4305
824,9,46.7667,15.55
825,9,47.0167,15.1667
826,9,48.3853,14.023
827,9,47.407,13.2205
828,9,48.244,13.006
829,9,47.4167,15.2833
830,9,48.2,16.4633
831,9,48.2194,13.16
832,9,47.6,14.7333
833,9,46.5347,14.1712
834,9,46.8638,13.3355
835,9,46.5462,14.2985
836,9,47.1667,14.7333
837,9,48.1764,16.4811
838,9,47.1667,15.3333
839,9,47.2354,12.0583
840,9,46.7772,15.5842
841,9,48.1766,16.4813
842,9,47.2342,11.8997
843,9,47.1333,15.35
844,9,48.3553,16.2424
845,9,47.6,14.7333
846,9,47.6,14.7333
847,9,48.5184,13.7076
848,9,46.8142,12.7618
849,9,47.2122,10.7215
850,9,47.3932,11.7886
851,9,47.0678,10.6652
852,9,47.2078,11.0057
853,9,47.2696,10.9678
854,9,47.1985,12.7223
855,9,47.1968,12.7192
856,9,47.2591,12.7389
857,9,46.67,13.6886
858,9,47.2591,12.7389
859,9,47.8314,14.1572
860,9,46.975,10.043
861,9,47.4412,13.2108
862,9,46.8727,13.3117
863,9,47.6833,14.7
864,9,47.65,14.7167
865,9,47.3,15.3167
866,9,46.8522,15.5383
867,9,47.3833,15.1
868,9,47.9243,14.4367
869,9,47.1485,11.8225
870,9,47.074,9.874
871,9,47.0659,13.3539
872,9,47.0659,13.3539
873,9,47.4,13.5667
874,9,47.1581,11.8501
875,9,48.2232,15.3042
876,9,46.8833,15.5167
877,9,40.1247,-8.7751
878,9,46.8167,13.3167
879,9,47.2167,14.4833
880,9,47.6413,12.1989
881,9,46.9271,10.0539
882,9,46.745,15.5847
883,9,48.3166,14.1512
884,9,48.5536,13.4371
885,9,46.7209,13.6453
886,9,47.2,15.35
887,9,47.3598,15.3424
888,9,47.65,13.6667
889,9,47.35,13.6833
890,9,46.7333,15.5667
891,9,47.085,9.8813
892,9,47.0847,9.8744
893,9,46.5696,14.0268
894,9,48.489,14.6288
895,9,48.3946,14.7302
896,9,46.658,14.8726
897,9,47.3152,13.1389
898,9,48.1815,16.4334
899,9,47.5333,14.3667
900,9,47.3386,13.1974
901,9,47.4467,15.2849
902,9,48.0076,12.8942
903,9,47.3214,13.1744
904,9,48.1007,14.4568
905,9,46.7656,13.2717
906,9,47.9333,14.35
907,9,48.0122,13.5895
908,9,47.5,14.4667
909,9,47.1485,11.8225
910,9,47.3749,13.2101
911,9,46.9684,10.0599
912,9,48.1766,16.4814
913,9,46.6329,13.8294
914,9,47.192,9.6815
915,9,47.316,13.141
916,9,47.3833,12.6
917,9,48.1666,14.6953
918,9,46.8167,15.8667
919,9,47.4698,13.1945
920,9,48.1465,14.1176
921,9,48.0338,16.7264
922,9,48.09,16.844
923,9,48.09,16.844
924,9,48.095,16.89
925,9,48.1892,15.0682
926,10,38.456,48.875
927,10,40.78,46.9901
928,10,40.3734,49.9192
929,10,40.3734,49.9192
930,10,41.3979,48.3308
931,10,39.8943,48.9173
932,10,41.4635,48.806
933,10,40.79,47.0287
934,10,40.1794,49.47
935,10,40.9487,46.168
936,10,40.4995,50.2077
937,10,40.6036,49.6332
938,10,40.6837,47.0926
939,10,40.9193,46.2829
940,11,25.9714,50.6076
941,11,26.2175,50.6595
942,11,26.0945,50.6008
943,11,26.1,50.58
944,11,26.1981,50.5919
945,11,26.2223,50.6621
946,11,26.1199,50.5889
947,11,26.1833,50.6237
948,12,24.6301,88.4006
949,12,24.0426,91.0158
950,12,24.1361,89.5933
951,12,22.5713,91.6841
