date_id,Total Employees,industry_id,Average Hourly Earnings
54,26900,3,0.00
55,26800,3,0.00
56,26700,3,0.00
57,26400,3,0.00
58,26500,3,0.00
59,26600,3,0.00
60,26500,3,0.00
61,26400,3,0.00
62,26400,3,0.00
63,26300,3,0.00
64,26200,3,0.00
65,26400,3,0.00
66,26600,3,0.00
67,26700,3,0.00
68,26100,3,0.00
69,26300,3,0.00
70,26300,3,0.00
71,26300,3,0.00
72,26300,3,0.00
1,110600,4,34.13
2,111000,4,34.37
3,111300,4,34.57
4,111000,4,34.11
5,110800,4,34.41
6,111200,4,34.47
7,112400,4,34.17
8,112300,4,34.40
9,112200,4,34.57
10,112400,4,34.47
11,112600,4,35.25
12,112600,4,34.73
13,113300,4,35.10
14,112400,4,35.76
15,112400,4,35.55
16,112700,4,35.64
17,112500,4,35.45
18,112600,4,34.95
19,113100,4,35.56
20,113200,4,35.85
21,113900,4,35.96
22,113000,4,36.34
23,112600,4,36.00
24,112600,4,35.76
25,111900,4,36.15
26,113300,4,35.89
27,112600,4,36.98
28,112000,4,35.57
29,111800,4,35.93
30,112400,4,35.81
31,112800,4,36.14
32,112900,4,36.00
33,113400,4,35.22
34,113500,4,35.25
35,113200,4,34.93
36,113200,4,35.13
37,113000,4,35.49
38,112400,4,34.80
39,112500,4,34.36
40,112800,4,35.56
41,112900,4,35.49
42,112600,4,35.68
43,112000,4,35.41
44,112000,4,34.14
45,111600,4,35.79
46,111400,4,36.64
47,111000,4,37.24
48,111700,4,36.67
49,110000,4,36.59
50,110600,4,37.38
51,110300,4,38.07
52,110700,4,38.91
53,110900,4,39.32
54,110900,4,39.75
55,109200,4,40.59
56,109400,4,40.59
57,108700,4,41.22
58,109000,4,41.14
59,109200,4,41.35
60,109400,4,43.63
61,110100,4,41.57
62,110800,4,41.90
63,110500,4,41.79
64,110200,4,41.24
65,110300,4,41.58
66,111000,4,41.70
67,110300,4,41.48
68,109700,4,42.08
69,109500,4,42.30
70,109500,4,42.47
71,110200,4,42.70
72,109800,4,44.28
1,204600,5,0.00
2,204700,5,0.00
3,204800,5,0.00
4,204400,5,0.00
5,205500,5,0.00
6,205900,5,0.00
7,206200,5,0.00
8,207200,5,0.00
9,206600,5,0.00
10,207000,5,0.00
11,207200,5,0.00
12,208400,5,0.00
13,208100,5,0.00
14,208300,5,0.00
15,208600,5,0.00
16,208000,5,0.00
17,208200,5,0.00
18,208300,5,0.00
19,208700,5,0.00
20,208800,5,0.00
21,208700,5,0.00
22,208700,5,0.00
23,208900,5,0.00
24,208500,5,0.00
25,209100,5,0.00
26,208900,5,0.00
27,208600,5,0.00
28,209000,5,0.00
29,208700,5,0.00
30,208600,5,0.00
31,209000,5,0.00
32,208600,5,0.00
33,208800,5,0.00
34,208400,5,0.00
35,208600,5,0.00
36,208600,5,0.00
37,208600,5,0.00
38,209000,5,0.00
39,208800,5,0.00
40,209400,5,0.00
41,209800,5,0.00
42,210200,5,0.00
43,210500,5,0.00
44,210500,5,0.00
45,210700,5,0.00
46,210800,5,0.00
47,211000,5,0.00
48,210700,5,0.00
49,211300,5,0.00
50,211600,5,0.00
51,211800,5,0.00
52,211900,5,0.00
53,211700,5,0.00
54,211900,5,0.00
55,211600,5,0.00
56,211400,5,0.00
57,212200,5,0.00
58,213000,5,0.00
59,212700,5,0.00
60,212900,5,0.00
61,213100,5,0.00
62,212900,5,0.00
63,214100,5,0.00
64,212800,5,0.00
65,212900,5,0.00
66,213100,5,0.00
67,213200,5,0.00
68,213300,5,0.00
69,213200,5,0.00
70,212800,5,0.00
71,213200,5,0.00
72,214900,5,0.00
1,47500,6,26.69
2,47300,6,26.84
3,48100,6,26.61
4,47900,6,26.02
5,47500,6,26.39
6,47700,6,26.56
7,47700,6,26.38
8,48600,6,26.29
9,48300,6,26.54
10,48400,6,26.78
11,48200,6,26.93
12,49500,6,27.06
13,48700,6,27.26
14,48900,6,27.47
15,48600,6,27.84
16,48900,6,27.90
17,49100,6,28.17
18,48700,6,28.55
19,48700,6,29.23
20,50200,6,30.12
21,48400,6,30.54
22,48500,6,30.71
23,48900,6,31.38
24,48800,6,31.31
25,48500,6,30.85
26,48600,6,30.57
27,48800,6,31.01
28,48800,6,31.18
29,48900,6,30.97
30,49200,6,30.77
31,49700,6,30.56
32,49500,6,30.39
33,49700,6,30.29
34,49900,6,29.95
35,50300,6,29.63
36,50500,6,29.64
37,51500,6,29.89
38,49700,6,29.85
39,50000,6,29.69
40,49900,6,29.86
41,50000,6,29.78
42,50300,6,29.19
43,50700,6,29.85
44,51000,6,29.45
45,51100,6,29.30
46,51200,6,29.36
47,51100,6,29.28
48,51300,6,29.32
49,50500,6,29.54
50,51600,6,29.32
51,51800,6,29.34
52,52700,6,29.31
53,52500,6,29.44
54,52600,6,29.75
55,52400,6,29.76
56,52000,6,30.09
57,52300,6,30.09
58,52200,6,30.26
59,52300,6,30.48
60,52400,6,30.84
61,52100,6,30.43
62,52900,6,30.44
63,52900,6,30.61
64,52900,6,31.00
65,53400,6,30.96
66,54000,6,31.06
67,53300,6,31.09
68,53600,6,31.11
69,53000,6,31.41
70,53100,6,31.35
71,53200,6,31.32
72,53500,6,31.34
